time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-19:15:34,111.197.207.32,127,10973506,1438560,7622,999,0,62,714,3592,250,4590,1731,8182,20,74,417,87616,506026,525760,4,1,5,0
19-19:13:19,61.149.253.118,127,10619323,5758240,7810,4234,0,369,4038,22510,1146,63193,11115,120000,5,209,406,81664,471604,525824,17,0,14,1
19-19:15:34,111.197.207.32,127,10973514,1398240,7623,971,0,530,1232,4115,235,3806,2821,120000,2,139,278,87616,494928,525760,5,0,6,1
19-19:19:51,114.250.200.53,3,10911280,952000,8023,700,20,20,175,1988,150,2172,826,120000,20,117,259,13632,490768,522944,2,1,5,0
19-19:23:34,114.242.248.72,3,10678486,5440,7854,4,11,10,11,13,6,22,211,213,20,257,342,1536,59540,438272,0,0,0,0
19-19:23:34,114.242.248.72,3,10678494,6942,7855,6,14,13,14,17,7,28,214,217,20,260,272,1536,65196,344832,0,0,0,0
19-19:27:30,123.117.184.47,127,10154423,145520,7470,107,17,17,231,1144,76,715,570,1906,20,247,416,81600,804980,1048576,4,0,5,0
19-19:27:30,123.117.184.47,5,10154415,119680,7468,88,17,17,154,1214,106,1234,540,2291,5,104,440,81600,931297,1048576,3,0,8,1
19-19:27:48,61.51.146.21,72,10683757,349920,7420,243,18,18,77,699,118,1346,494,2045,5,37,91,14656,1244782,1572864,24,0,28,3
19-19:28:48,125.33.30.27,21,10010777,1015920,7364,747,211,65,2896,23822,1038,23578,8902,47400,20,193,415,81664,430384,525824,5,1,6,0
19-19:32:17,123.122.210.193,3,10170741,399840,7481,294,28,27,128,372,41,338,389,705,20,339,557,81600,767992,1048576,0,0,3,0
19-19:32:17,123.122.210.193,3,10170733,364480,7480,268,22,22,126,354,71,406,393,726,20,197,344,81600,921552,1048576,0,0,5,0
19-19:40:41,124.64.205.88,3,10411835,667760,7656,491,17,17,81,2263,60,4934,445,7197,13,47,152,13632,672108,1048576,1,0,9,0
19-19:41:10,114.254.11.154,3,10973506,372446,8071,275,15,15,53,184,35,163,253,384,20,98,236,81600,970197,1048576,0,0,2,0
19-19:41:10,114.254.11.154,3,10973514,390320,8072,287,16,16,52,181,38,168,252,381,20,87,246,81600,981644,1048576,0,0,2,0
19-19:48:24,61.148.244.65,3,10977026,0,7844,0,68,37,276,975,55,284,499,1220,20,755,1748,87808,1299160,2376960,0,0,0,0
19-19:48:24,61.148.244.65,3,10977018,4200,7842,3,68,34,260,975,48,262,479,1213,20,578,1198,87808,1557009,2993408,0,0,1,0
